102,523472.513,3047465.805,940.696,TP-102
101,522931.378,3047217.631,749.754,TP-101
100,523476.335,3047465.64,940.671,TP-100
27,523997.242,3047533.837,983.604,BM-27
26,523488.81,3047113.659,641.61,BM-26
25,523679.379,3047114.878,643.128,BM-25
24,523132.637,3047109.632,672.109,BM-24
23,523136.545,3047020.381,649.608,BM-23
22,523115.25,3047097.355,656.346,BM-22
21,523519.773,3047580.708,976.771,BM-21
20,523545.411,3047714.432,1011.692,BM-20
19,523464.785,3047658.316,1015.498,BM-19
5105,523072.165,3047155.302,648.998,WL-RB
5103,523071.315,3047159.631,649.187,WL-RB
5101,523075.251,3047146.618,649.066,WL-RB
5099,523077.534,3047144.501,649.376,WL-RB
4972,523170.059,3046964.91,632.389,WL-JNC
5097,523074.342,3047131.748,647.648,WL
5093,523080.514,3047113.245,646.557,WL
5090,523084.522,3047093.874,645.977,WL
5084,523086.922,3047077.704,644.851,WL
5078,523093.773,3047060.095,642.912,WL
5076,523102.523,3047041.77,642.659,WL
5074,523106.381,3047032.839,642.531,WL
5072,523110.013,3047025.566,642.569,WL
5070,523111.995,3047017.159,642.688,WL
5068,523114.021,3047010.835,641.914,WL
5065,523116.728,3047005.624,642.257,WL
5058,523125.915,3046976.416,639.656,WL
5057,523123.538,3046982.304,639.395,WL
5056,523132.029,3046972.342,638.783,WL
5055,523119.668,3046991.495,640.296,WL
5054,523141.971,3046968.02,637.873,WL
5053,523120.011,3046995.962,641.034,WL
5052,523149.133,3046964.75,636.268,WL
5051,523157.751,3046965.741,634.239,WL
5015,523387.917,3047109.07,635.894,WL
5014,523375.752,3047108.694,635.893,WL
5012,523356.468,3047103.315,634.976,WL
5010,523335.862,3047098.371,634.786,WL
5008,523318.917,3047090.92,634.48,WL
5006,523300.166,3047086.575,634.434,WL
5003,523280.534,3047077.125,634.206,WL
5000,523260.597,3047062.362,633.952,WL
4994,523245.107,3047051.294,633.816,WL
4990,523224.098,3047032.738,632.709,WL
4987,523211.794,3047025.482,632.69,WL
4984,523200.962,3047010.468,633.418,WL
4981,523191.383,3046997.911,632.527,WL
4979,523182.547,3046989.773,632.374,WL
4976,523174.537,3046977.55,632.425,WL
3945,523725.67,3047108.985,638.178,WL
3944,523718.846,3047109.046,638.216,WL
3943,523711.417,3047110.818,638.08,WL
3942,523705.625,3047111.38,638.278,WL
3941,523701.183,3047108.703,638.984,WL
3940,523674.398,3047108.085,638.4,WL
3939,523663.001,3047113.031,637.95,WL
3938,523657.214,3047114.376,638.068,WL
3937,523651.781,3047113.65,643.148,WL
3936,523647.173,3047113.374,646.702,WL
3935,523643.247,3047113.046,649.707,WL
3934,523637.62,3047112.56,653.619,WL
